model,accuracy,precision_spam,recall_spam,f1_spam
Logistic Regression,0.97678916827853,0.9083969465648855,0.9083969465648855,0.9083969465648855
Multinomial Naive Bayes,0.9700193423597679,1.0,0.7633587786259542,0.8658008658008658
