model,accuracy,precision_spam,recall_spam,f1_spam,roc_auc
Linear SVM (LinearSVC),0.9816247582205029,0.9516129032258065,0.9007633587786259,0.9254901960784314,
Logistic Regression,0.97678916827853,0.9083969465648855,0.9083969465648855,0.9083969465648855,0.9908236328438708
Random Forest,0.9748549323017408,0.9906542056074766,0.8091603053435115,0.8907563025210085,0.9943699119981739
Multinomial Naive Bayes,0.9700193423597679,1.0,0.7633587786259542,0.8658008658008658,0.9785912944975612
